draw,draw_date,rank,name,choice_type,address
1184,2025-08-09,1,1,가로판매점,수동
1184,2025-08-09,1,2,오케이상사,자동
1184,2025-08-09,1,3,5번가 로또,자동
1184,2025-08-09,1,4,천하명당복권방(행운을주는사람들),수동
1184,2025-08-09,1,5,복권판매점,수동
1184,2025-08-09,1,6,운수대통,자동
1184,2025-08-09,1,7,안성상회,수동
1184,2025-08-09,1,8,행운복권방,수동
1184,2025-08-09,1,9,한방복권,자동
1184,2025-08-09,1,10,행운복권방,자동
1184,2025-08-09,1,11,강경복권방,자동
1184,2025-08-09,1,12,꿀사랑,자동
1184,2025-08-09,1,13,역전로또,자동
1184,2025-08-09,1,14,로또복권 하대점,자동
1184,2025-08-09,1,15,소답시내버스매표소,자동
1184,2025-08-09,2,1,아셈마트,서울 강남구 영동대로112길 10
1184,2025-08-09,2,2,가로판매대,서울 강동구 올림픽로 648 천호역 3번 출구 앞(가판점)
1184,2025-08-09,2,3,광산마트,서울 강북구 한천로 1078-1
1184,2025-08-09,2,4,잉크와복권,서울 강서구 가로공원로76가길 12
1184,2025-08-09,2,5,행운의복권방,서울 관악구 양녕로 37-1
1184,2025-08-09,2,6,대박로또,서울 구로구 고척로21나길 8-3 (개봉동)
1184,2025-08-09,2,7,국민슈퍼,서울 도봉구 도봉로 588
1184,2025-08-09,2,8,제일복권,서울 동대문구 회기로 194
1184,2025-08-09,2,9,인터넷 복권판매사이트,동행복권(dhlottery.co.kr)
1184,2025-08-09,2,10,인터넷 복권판매사이트,동행복권(dhlottery.co.kr)
1184,2025-08-09,2,11,인터넷 복권판매사이트,동행복권(dhlottery.co.kr)
1184,2025-08-09,2,12,행운복권방,서울 은평구 연서로 258 상가102호
1184,2025-08-09,2,13,행운복권방,서울 은평구 연서로21길 8
1184,2025-08-09,2,14,사과나무,서울 중구 마른내로 124
1184,2025-08-09,2,15,씨스페이스 범어사역점,부산 금정구 중앙대로 2097
1185,2025-08-16,1,경기 광명시 기아로 6,수동,수동
1185,2025-08-16,1,"경기 수원시 영통구 덕영대로1555번길 13 106호(영통동, 세일빌딩)",자동,자동
1185,2025-08-16,1,"경기 시흥시 시청로68번길 4 1층 124호(장현동, 장현1엔플러스빌)",자동,자동
1185,2025-08-16,1,"경기 안산시 단원구 광덕2로 193-19 113,114호",자동,자동
1185,2025-08-16,1,경기 오산시 성호대로93번길 27,자동,자동
1185,2025-08-16,1,경기 화성시 동화새터길 98 106호,자동,자동
1185,2025-08-16,1,경남 김해시 함박로101번길 22 삼우빌딩104호 복권판매점,자동,로또통신
1185,2025-08-16,1,경북 구미시 구미중앙로 57-3,자동,자동
1185,2025-08-16,1,부산 기장군 정관중앙로 48 106호,수동,수동
1185,2025-08-16,1,부산 부산진구 골드테마길 42,자동,자동
1185,2025-08-16,1,서울 영등포구 여의나루로 42 가로판매점(여의도동),자동,하나복권(가로판매점)
1185,2025-08-16,1,충남 서산시 호수공원6로 64 1층,자동,필로또복권
1185,2025-08-16,2,대박복권방,,서울 용산구 효창원로 262
1185,2025-08-16,2,복권정복,,서울 강동구 고덕로24길 9 1층 104호
1185,2025-08-16,2,서울 강동구 올림픽로 648 천호역 3번 출구 앞(가판점),,가로판매대
1185,2025-08-16,2,서울 노원구 상계로12길 16 1층 일부(상계동),,방글이 로또
1185,2025-08-16,2,서울 송파구 마천로57길 5,,대박로또
1185,2025-08-16,2,잠실매점,,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판
1185,2025-08-16,2,지도보기,,서울 송파구 마천로 235
1185,2025-08-16,2,지도보기,,서울 중구 퇴계로 222-1
1185,2025-08-16,2,지도보기,,서울 중구 퇴계로 222-1
1185,2025-08-16,2,한성식품,,서울 중구 수표로 26
1185,2025-08-16,2,행복복권방,,서울 양천구 신목로6길 41
1185,2025-08-16,2,행운복권방,,서울 노원구 광운로 49 1층(월계동)
1185,2025-08-16,2,황금어장,,서울 은평구 연서로 333
1186,2025-08-23,1,강원 홍천군 홍천로 409 1층,자동,자동
1186,2025-08-23,1,경기 남양주시 별내2로 64 109호,자동,자동
1186,2025-08-23,1,경기 이천시 단월로 33,자동,자동
1186,2025-08-23,1,경남 창원시 성산구 대정로 145 개나리1차상가107호,자동,자동
1186,2025-08-23,1,경남 창원시 성산구 용지로113번길 8,자동,창원로또명당
1186,2025-08-23,1,경북 김천시 혁신로 185 메타폴리스상가 120호,수동,수동
1186,2025-08-23,1,대전 서구 둔산남로105번길 19,수동,미리 대박 복권
1186,2025-08-23,1,서울 광진구 뚝섬로30길 47,반자동,희망드림(동행복권)
1186,2025-08-23,1,서울 동대문구 장한로2길 24,반자동,반자동
1186,2025-08-23,1,울산 북구 당수골6길 20 1층,수동,네잎클로버
1186,2025-08-23,1,인천 연수구 한나루로197번길 34,자동,자동
1186,2025-08-23,1,전남 여수시 성산로 19,자동,자동
1186,2025-08-23,1,전북 익산시 무왕로 1268,자동,자동
1186,2025-08-23,1,충북 진천군 상산로 71,수동,수동
1186,2025-08-23,2,드림공인중개사사무소,,서울 양천구 목동중앙북로16길 3 광진상가1층104
1186,2025-08-23,2,서울 마포구 마포대로 44 진도빌딩앞,,로또복권판매소
1186,2025-08-23,2,서울 마포구 마포대로 44 진도빌딩앞,,로또복권판매소
1186,2025-08-23,2,서울 서초구 신반포로 194 쇼케이스12호,,드림로또
1186,2025-08-23,2,서울 영등포구 영등포로53길 17 1층 (영등포동2가),,대박로또
1186,2025-08-23,2,서울 종로구 돈화문로 23 가판,,종로3가1호선역2번출구가로판매점82호
1186,2025-08-23,2,잠실매점,,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판
1186,2025-08-23,2,제이복권방,,서울 종로구 종로 225-1 평창빌딩 1층 103호
1186,2025-08-23,2,제일복권,,서울 동대문구 회기로 194
1186,2025-08-23,2,주택복권사랑방,,서울 관악구 난곡로 363-1
1186,2025-08-23,2,지도보기,,서울 도봉구 우이천로4길 36 1층
1186,2025-08-23,2,천하명당관악점,,서울 관악구 보라매로2길 11
